porcentaje_h_mayor_90,max_mora,porcentaje_h_60_90,porcentaje_h_pago_a_tiempo,porcentaje_h_30_60,porcentaje_h_1_30,min_mora,antiguedad,centro_operacion,regional,unidad_negocio,condicion_pago,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90,centro_operacion:BELLO,centro_operacion:BUCARAMANGA,centro_operacion:CARTAGENA,centro_operacion:CHIQUINQUIRA,centro_operacion:CUCUTA,centro_operacion:MANIZALES,centro_operacion:OFICINA CENTRAL,centro_operacion:OTRO,centro_operacion:PITALITO,centro_operacion:SIBERIA,centro_operacion:VILLANUEVA,centro_operacion:YUMBO,regional:DC,regional:DN,regional:DS,regional:OC,unidad_negocio:ADM,unidad_negocio:CIL,unidad_negocio:GRN,unidad_negocio:OTRO,condicion_pago:08D,condicion_pago:15D,condicion_pago:30D,condicion_pago:60D,condicion_pago:CTD,condicion_pago:OTRO,mora_de_1_30:0,mora_de_1_30:1,mora_de_30_60:0,mora_de_30_60:1,mora_de_60_90:0,mora_de_60_90:1,mora_mayor_90:0,mora_mayor_90:1,centro_operacion:VILLANUEVA_YUMBO_BELLO,centro_operacion:CARTAGENA_BUCARAMANGA,unidad_negocio:ADM_CIL,condicion_pago:30D_CTD,condicion_pago:OTROS,min_mora_factor,max_mora_factor,porcentaje_h_60_90_factor,porcentaje_h_60_90: entre 0 y 20,porcentaje_h_60_90: entre 20 y 80,porcentaje_h_60_90: entre 80 y 100,porcentaje_h_mayor_90_factor,porcentaje_h_30_60_factor,porcentaje_h_30_60: entre 0 y 30,porcentaje_h_30_60: entre 30 y 70,porcentaje_h_30_60: entre 70 y 100,Antiguedad_factor,antiguedad: menor a 6 meses,antiguedad: entre 6 meses y 1 año,antiguedad: entre 1 y 3 años,antiguedad: entre 3 y 5 años,antiguedad: entre 5 y 6 años,antiguedad: entre 6 y 8 años,antiguedad: entre 8 y 10 años,antiguedad: entre 10 y 12 años,antiguedad: mayor a 12 años,porcentaje_h_pago_a_tiempo_factor,porcentaje_h_1_30_factor,porcentaje_h_1_30: entre 0 y 25,porcentaje_h_1_30: entre 25 y 50,porcentaje_h_1_30: entre 50 y 75,porcentaje_h_1_30: entre 75 y 100
0.0,68.0,0.43,85.95,0.43,13.16,-1097.0,2256,CARTAGENA_BUCARAMANGA,DC,ADM_CIL,15D,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,"(50.0, 100.0]",Entre 0 y 25,1,0,0,0
0.0,71.0,1.3,39.44,22.62,36.62,-52.0,900,SIBERIA,DC,GRN,OTROS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,"(-0.1, 50.0]",Entre 25 y 50,0,1,0,0
0.0,72.0,1.32,97.85,0.01,0.8,-40.0,19867,VILLANUEVA_YUMBO_BELLO,OC,ADM_CIL,30D o CTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,mayor a 12 años,0,0,0,0,0,0,0,0,1,"(50.0, 100.0]",Entre 0 y 25,1,0,0,0
14.28,114.0,14.28,0.0,71.42,0.0,46.0,1360,SIBERIA,DC,ADM_CIL,30D o CTD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,no negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(66.667, 100.0]",0,0,1,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,"(-0.1, 50.0]",Entre 0 y 25,1,0,0,0
32.66,172.0,6.53,6.52,16.33,37.94,-21.0,1586,CARTAGENA_BUCARAMANGA,DC,ADM_CIL,30D o CTD,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,negativo,200,0 a 20,1,0,0,"(30.0, 40.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,"(-0.1, 50.0]",Entre 25 y 50,0,1,0,0
0.0,-12.0,0.0,100.0,0.0,0.0,-12.0,1284,CARTAGENA_BUCARAMANGA,DC,ADM_CIL,OTROS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,"(50.0, 100.0]",Entre 0 y 25,1,0,0,0
0.0,-2.0,0.0,100.0,0.0,0.0,-2.0,1905,VILLANUEVA_YUMBO_BELLO,DS,GRN,OTROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 5 y 6 años,0,0,0,0,1,0,0,0,0,"(50.0, 100.0]",Entre 0 y 25,1,0,0,0
0.0,1.0,0.0,16.97,0.0,83.02,-39.0,3074,VILLANUEVA_YUMBO_BELLO,DC,ADM_CIL,30D o CTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 8 y 10 años,0,0,0,0,0,0,1,0,0,"(-0.1, 50.0]",Entre 75 y 100,0,0,0,1
0.0,35.0,0.0,39.96,60.03,0.0,-20.0,1045,SIBERIA,DC,GRN,OTROS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(33.333, 66.667]",0,1,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,"(-0.1, 50.0]",Entre 0 y 25,1,0,0,0
11.4,152.0,3.31,0.0,32.7,52.57,10.0,743,SIBERIA,DC,OTRO,30D o CTD,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,no negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(-0.1, 33.333]",0,1,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,"(-0.1, 50.0]",Entre 50 y 75,0,0,1,0
